,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1372761346,0,8,7,-37.807202,145.0266373,-37.8618349,144.905716,13986.0,2018-04-03,17:21:57,4298.280000000001,18:33:35,12.88
ID3631230143,1,4,1,-37.8163233,145.0085808,-37.805314,144.9416774,6576.0,2018-02-10,17:17:22,1621.0800000000008,17:44:23,20.48
ID1642689948,0,9,2,-38.1109156,144.6541725,-37.8234064,144.9378473,43067.0,2018-07-24,14:34:11,10411.559999999998,17:27:42,21.67
ID1407464235,0,9,4,-38.1109156,144.6541725,-37.8132093,145.0144442,48333.0,2018-01-07,17:09:47,11717.52000000001,20:25:04,24.95
ID3566173474,1,1,4,-37.8084919,144.9487961,-37.8032475,144.9890489,4223.0,2018-03-12,06:05:03,1049.0400000000004,6:22:32,10.06
ID1230180926,0,9,3,-38.1109156,144.6541725,-37.8099791,144.9952351,46487.0,2018-27-01,19:17:40,11135.460000000003,22:23:15,25.74
ID1552005829,0,6,4,-37.773845,144.9836895,-37.8118495,145.0003956,6756.0,2018-14-07,16:37:37,1487.8800000000006,17:02:24,11.95
ID3535601159,1,2,6,-37.815309,144.9459185,-37.7907967,144.985865,5290.0,2018-07-22,10:57:01,1402.6200000000001,11:20:23,14.41
ID5733258800,2,1,4,-37.8208463,144.9572681,-37.8153719,145.0090574,5144.0,2018-04-13,15:03:12,1290.1200000000003,15:24:42,107.38
ID1678531264,0,3,6,-37.8196782,144.9712076,-37.773845,144.9836895,5977.0,2018-06-06,05:20:42,1321.3200000000002,5:42:43,14.47
ID5593813987,2,3,9,-37.8211073,145.0015792,-38.1109156,144.6541725,46999.0,2018-07-24,01:55:45,11282.94,5:03:47,782.69
ID1169023178,0,5,3,-37.8058767,144.9295578,-37.8214346,144.9986672,7443.0,2018-03-03,05:40:46,1740.6599999999996,6:09:46,16.31
ID3741698545,1,5,4,-37.8057389,144.9295765,-37.8127402,145.0130446,8445.0,2018-06-31,15:02:24,2181.4200000000005,15:38:45,17.88
ID5738135982,2,2,6,-37.8143317,144.9359226,-37.7874325,144.9803767,6064.0,2018-02-30,15:50:34,1524.7200000000005,16:15:58,124.13
ID3119601597,1,9,3,-38.1109156,144.6541725,-37.8126219,144.972486,44246.0,2018-01-06,09:04:12,10664.160000000002,12:01:56,55.08
ID1512405533,0,1,4,-37.8009594,144.9566969,-37.8090808,145.0003989,4350.0,2018-06-31,12:25:26,1082.4000000000003,12:43:28,8.27
ID1819699179,0,1,6,-37.8145317,144.9382023,-37.7738026,144.9836466,9784.0,2018-06-31,04:02:52,2978.64,4:52:30,17.99
ID3583635947,1,2,6,-37.8139411,144.9357557,-37.7874325,144.9803767,6116.0,2018-04-31,02:22:24,1540.7400000000005,2:48:04,22.25
ID3749690590,1,3,2,-37.8148807,144.974528,-37.8256534,144.9298935,9474.0,2018-02-10,22:02:47,2334.8999999999996,22:41:41,27.45
ID3693166538,1,2,7,-37.8089442,144.9257734,-37.8618349,144.905716,11460.0,2018-02-08,22:01:23,3627.6000000000004,23:01:50,28.75
ID1524199772,0,5,7,-37.7996429,144.926002,-37.8618349,144.905716,12103.0,2018-06-09,11:11:16,3841.6200000000013,12:15:17,12.09
ID1262033073,0,5,9,-37.8018706,144.9376783,-38.1109156,144.6541725,43847.0,2018-03-09,09:54:21,10517.34,12:49:38,18.03
ID3262340755,1,8,2,-37.8158343,145.04645,-37.8244413,144.9526875,9120.0,2018-06-31,09:00:55,2603.699999999997,9:44:18,14.33
ID5797809501,2,9,6,-38.1109156,144.6541725,-37.7907967,144.985865,47193.0,2018-01-16,17:17:28,11535.780000000008,20:29:43,790.36
ID1844305921,0,8,6,-37.8158343,145.04645,-37.7907967,144.985865,7470.0,2018-02-30,19:34:06,2302.3800000000006,20:12:28,9.82
ID1977514473,0,1,8,-37.8044436,144.9492177,-37.8158343,145.04645,8818.0,2018-06-31,15:49:32,2534.9399999999996,16:31:46,11.3
ID1175110179,0,3,9,-37.8241555,144.9839057,-38.1109156,144.6541725,45689.0,2018-02-11,01:49:22,11030.279999999999,4:53:12,28.91
ID1464453470,0,2,8,-37.8227347,144.9311156,-37.807202,145.0266373,10472.0,2018-06-31,15:32:53,2584.08,16:15:57,10.55
ID1468275888,0,5,1,-37.8049453,144.9284165,-37.8035491,144.9730654,4523.0,2018-02-30,23:29:43,1237.7400000000007,23:50:20,12.32
ID3633178332,1,8,3,-37.807202,145.0266373,-37.8253837,144.9815371,6002.0,2018-04-10,04:56:26,1465.9800000000005,5:20:51,18.47
ID5694183123,2,5,3,-37.813801,144.9269992,-37.8249054,144.9919171,7431.0,2018-05-17,02:52:44,1924.0199999999998,3:24:48,158.3
ID1537556659,0,3,8,-37.8211507,144.9982666,-37.8158343,145.04645,5231.0,2018-05-22,11:01:29,1604.6399999999999,11:28:13,4.31
ID1209515951,0,8,2,-37.807202,145.0266373,-37.8184938,144.9442143,8571.0,2018-02-23,15:59:01,2201.7,16:35:42,9.08
ID1547774847,0,7,6,-37.8618349,144.905716,-37.7907967,144.985865,11711.0,2018-06-19,22:56:10,3859.799999999998,0:00:29,18.53
ID3845028146,1,3,4,-37.8117134,145.0010092,-37.7999316,145.0025207,1838.0,2018-06-13,12:48:15,463.31999999999994,12:55:58,11.1
ID3715843669,1,3,7,-37.8204694,144.9850547,-37.8618349,144.905716,9141.0,2018-03-15,22:03:03,3001.5,22:53:04,26.89
ID3143251236,1,4,8,-37.8095022,145.004336,-37.8158343,145.04645,3924.0,2018-02-10,01:07:08,1288.2,1:28:36,20.15
ID5795734336,2,3,2,-37.8221479,144.979055,-37.8236199,144.9429621,3710.0,2018-03-20,02:48:41,1010.3400000000003,3:05:31,97.77
ID1514710024,0,1,6,-37.8211591,144.947382,-37.7738026,144.9836466,9839.0,2018-07-15,10:55:02,2999.58,11:45:01,10.35
ID3536872105,1,1,8,-37.8140381,144.9713121,-37.8158343,145.04645,7075.0,2018-02-26,22:04:18,2069.2200000000003,22:38:47,23.82
ID3820019397,1,6,4,-37.7874421,144.9804091,-37.8127666,145.0127195,5709.0,2018-07-15,03:34:59,1462.8599999999994,3:59:21,24.13
ID1662410938,0,5,8,-37.8086589,144.9259279,-37.807202,145.0266373,9733.0,2018-04-17,06:17:06,2525.04,6:59:11,6.57
ID3700531285,1,7,2,-37.8618349,144.905716,-37.8148596,144.9235134,12373.0,2018-03-14,22:40:28,3994.0199999999973,23:47:02,29.68
ID3261653920,1,3,5,-37.8232251,144.9862043,-37.8042426,144.9171674,7090.0,2018-05-02,09:19:54,1827.8999999999999,9:50:21,12.67
ID1628811282,0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-04-09,20:51:08,13173.359999999999,0:30:41,24.01
ID3718729363,1,6,2,-37.7874325,144.9803767,-37.8172224,144.9490057,5254.0,2018-07-02,14:50:46,1259.2799999999997,15:11:45,13.79
ID1644014769,0,3,1,-37.8167707,144.9947952,-37.8187991,144.9573256,3614.0,2018-03-26,12:46:17,890.3400000000004,13:01:07,9.58
ID3171740128,1,8,7,-37.807202,145.0266373,-37.8618349,144.905716,13986.0,2018-07-20,04:49:22,4298.280000000001,6:01:00,32.43
ID1792542856,0,2,9,-37.8254365,144.9358968,-38.1109156,144.6541725,43396.0,2018-04-27,18:24:36,10480.56,21:19:16,22.04
ID3444640321,1,6,2,-37.7738026,144.9836466,-37.8099904,144.939743,10381.0,2018-06-19,08:40:01,3128.1,9:32:09,17.77
ID3749873971,1,5,7,-37.799296,144.9354505,-37.8618349,144.905716,11278.0,2018-02-10,13:26:16,3711.9000000000005,14:28:07,29.7
ID5442284009,2,3,8,-37.8222361,144.9677432,-37.807202,145.0266373,6837.0,2018-05-15,19:34:49,1761.9600000000007,20:04:10,138.54
ID3965974939,1,1,6,-37.8128878,144.9641366,-37.7874421,144.9804091,3670.0,2018-07-11,20:44:43,966.4800000000002,21:00:49,11.82
ID3733620322,1,3,5,-37.8197255,144.9792496,-37.806496,144.9325212,5107.0,2018-07-27,03:37:22,1232.3399999999997,3:57:54,20.08
ID1233536222,0,6,4,-37.7908183,144.9857929,-37.7964505,145.0087756,3468.0,2018-01-20,20:14:42,940.98,20:30:22,11.2
ID3886695665,1,1,3,-37.7937749,144.9584623,-37.8192396,144.9869516,4564.0,2018-01-08,11:55:47,1006.0199999999996,12:12:33,10.48
ID1277288369,0,7,1,-37.8618349,144.905716,-37.8023258,144.9578716,9439.0,2018-05-28,17:48:29,3159.899999999998,18:41:08,9.81
ID5931451825,2,9,1,-38.1109156,144.6541725,-37.818826,144.9531568,42432.0,2018-07-24,10:17:02,10211.939999999995,13:07:13,693.56
ID1572392531,0,4,1,-37.8080174,144.9955836,-37.8001418,144.9625143,3424.0,2018-05-26,16:55:02,857.7600000000002,17:09:19,11.74
ID1643454448,0,7,2,-37.8618349,144.905716,-37.8127283,144.9425214,9879.0,2018-02-19,13:50:47,3277.9799999999987,14:45:24,11.92
ID5917894894,2,1,2,-37.818629,144.9629936,-37.8125275,144.9362089,3519.0,2018-05-28,05:29:37,881.2199999999999,5:44:18,89.23
ID5362479694,2,9,2,-38.1109156,144.6541725,-37.8122877,144.9372642,42927.0,2018-07-09,17:24:23,10288.499999999996,20:15:51,707.29
ID5286942123,2,6,8,-37.773845,144.9836895,-37.8158343,145.04645,10698.0,2018-02-11,21:53:48,2756.46,22:39:44,220.85
ID1218587671,0,1,4,-37.8029429,144.9633573,-37.8015596,145.0071069,4419.0,2018-01-13,02:46:29,1166.8200000000006,3:05:55,14.46
ID3796355736,1,7,1,-37.8618349,144.905716,-37.8049456,144.9430752,10241.0,2018-06-09,13:42:02,3406.1999999999985,14:38:48,26.76
ID5983501769,2,5,8,-37.8126695,144.9315696,-37.8158343,145.04645,11187.0,2018-03-02,16:22:33,3137.76,17:14:50,231.44
ID5446369758,2,7,1,-37.8618349,144.905716,-37.8189455,144.953212,8525.0,2018-02-27,15:06:42,2926.1399999999976,15:55:28,216.62
ID1583328731,0,1,9,-37.8046538,144.945257,-38.1109156,144.6541725,43269.0,2018-04-25,23:14:52,10383.599999999999,2:07:55,27.01
ID3986705241,1,1,4,-37.7996032,144.9606034,-37.8079403,145.0087965,5130.0,2018-05-11,23:23:35,1310.0400000000002,23:45:25,20.66
ID3703538217,1,6,1,-37.7738026,144.9836466,-37.8124655,144.9743739,7692.0,2018-01-21,01:59:28,2453.0999999999995,2:40:21,28.02
ID5574936734,2,8,3,-37.807202,145.0266373,-37.8236638,144.9675483,7002.0,2018-02-09,17:19:14,1816.500000000001,17:49:30,142.6
ID3166879082,1,7,4,-37.8618349,144.905716,-37.8125849,145.0155287,13142.0,2018-03-07,01:57:52,4110.419999999998,3:06:22,30.27
ID3647587688,1,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-04-28,17:41:56,13204.979999999994,21:22:00,69.7
ID3867846127,1,6,2,-37.7874325,144.9803767,-37.8164251,144.9458711,5265.0,2018-05-05,23:24:53,1282.3799999999999,23:46:15,23.29
ID1610332495,0,1,8,-37.8125121,144.9430819,-37.807202,145.0266373,8120.0,2018-01-20,09:10:01,2093.580000000001,9:44:54,8.12
ID1955037698,0,9,4,-38.1109156,144.6541725,-37.8118438,145.0004152,46859.0,2018-05-03,12:51:16,11200.74,15:57:56,23.06
ID3642616065,1,1,9,-37.8110829,144.9588361,-38.1109156,144.6541725,43185.0,2018-04-06,20:23:41,10442.939999999999,23:17:43,53.84
ID3499006909,1,4,1,-37.7992369,145.0042506,-37.8066263,144.9615746,4789.0,2018-05-18,08:04:41,1204.74,8:24:45,9.86
ID1642156844,0,7,6,-37.8618349,144.905716,-37.773845,144.9836895,13169.0,2018-05-18,15:38:05,3863.579999999999,16:42:28,9.99
ID5771069863,2,1,3,-37.8008069,144.9735614,-37.8110328,144.99006,2490.0,2018-01-16,07:55:40,610.2000000000002,8:05:50,52.72
ID1797644692,0,1,4,-37.8094949,144.9726843,-37.8010812,145.0146905,4545.0,2018-02-26,22:37:39,1257.78,22:58:36,12.82
ID5720773996,2,7,5,-37.8618349,144.905716,-37.8091162,144.9319332,10914.0,2018-07-20,12:16:08,3539.459999999998,13:15:07,257.1
ID3127641833,1,3,8,-37.8231549,144.9824744,-37.8158343,145.04645,7008.0,2018-07-20,07:52:02,2022.3000000000002,8:25:44,12.89
ID3947622900,1,3,5,-37.8117788,144.9957427,-37.805381,144.9363949,5612.0,2018-06-21,08:47:11,1477.5,9:11:48,11.4
ID1703635738,0,7,5,-37.8618349,144.905716,-37.816478,144.9283509,11524.0,2018-01-13,11:37:07,3725.879999999999,12:39:12,11.12
ID1313819753,0,7,3,-37.8618349,144.905716,-37.8095703,144.9888808,10064.0,2018-07-07,08:21:07,3391.079999999998,9:17:38,10.13
ID5806301908,2,4,3,-37.8115122,144.9964897,-37.8244322,144.9757989,3030.0,2018-03-15,04:26:30,699.9599999999998,4:38:09,75.68
ID1994353516,0,5,9,-37.8048626,144.9244347,-38.1109156,144.6541725,44041.0,2018-01-08,14:21:27,10556.039999999999,17:17:23,22.37
ID1387598157,0,8,3,-37.8158343,145.04645,-37.8251248,144.9847037,6902.0,2018-04-15,09:29:28,2026.2,10:03:14,8.44
ID5514404100,2,3,6,-37.810602,145.0008268,-37.7907967,144.985865,3444.0,2018-03-09,20:08:40,970.3800000000001,20:24:50,83.75
ID3235733033,1,8,1,-37.8158343,145.04645,-37.8024164,144.9435114,9277.0,2018-03-21,22:32:50,2530.8599999999997,23:15:00,23.48
ID1362315002,0,9,4,-38.1109156,144.6541725,-37.8101648,144.9964801,46597.0,2018-01-16,01:01:32,11192.460000000005,4:08:04,24.03
ID1577109281,0,3,5,-37.8138638,144.9725823,-37.7972646,144.9313349,5528.0,2018-04-09,19:08:01,1449.1800000000003,19:32:10,9.29
